left_split,left_index,left_category,left_text,right_split,right_index,right_category,right_text,similarity
train,164,transfer_not_received_by_recipient,Why hasn't a transaction I did to my friend arrived yet?,validation,1488,transfer_not_received_by_recipient,Why hasn't arrived yet a transaction I did to my friend?,0.990826
train,4710,direct_debit_payment_not_recognised,"In my app, a direct debit payment I didn't do shows in my app",validation,155,direct_debit_payment_not_recognised,A direct debit payment I didn't do shows in my app,0.989691
train,2711,transaction_charged_twice,"Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once,second time it works. App still stays pending for one of the payments. Can you please remove one of them as it's wrong and was declined?",validation,595,transaction_charged_twice,"Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once, second time it works. App still stays pending for one of the payments. Can you please remove one of them as it's wrong and clearly was declined?",0.98153
train,6656,atm_support,What ATMs can I use my card at?,validation,1842,atm_support,What ATMs can I use my card?,0.981132
train,6628,pending_card_payment,How long does it actually take for a card payment to go through? There's one stuck since a couple days already that doesn't seem to move,validation,318,pending_card_payment,How long does it actually take for a card payment to go through? There's one stuck since a couple of days already that doesn't seem to move,0.98008
train,1317,wrong_exchange_rate_for_cash_withdrawal,The exchange rate for me was wrong when I was abroad.,validation,1876,wrong_exchange_rate_for_cash_withdrawal,When I was abroad the exchange rate for me was wrong.,0.979592
train,3812,declined_card_payment,Do you know why my card payment has been declined?,validation,414,declined_card_payment,"my card payment has been declined, do you know why?",0.979592
train,113,transaction_charged_twice,"Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once,second time it works. App still stays pending for one of the payments. Can you remove one of them as it's wrong and clearly was declined?",validation,595,transaction_charged_twice,"Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once, second time it works. App still stays pending for one of the payments. Can you please remove one of them as it's wrong and clearly was declined?",0.978836
train,3443,top_up_by_card_charge,Do you have any fees if I want to add money using an international card.,validation,1664,top_up_by_card_charge,Do you have any card fees if I want to add money using an international card?,0.978723
train,4478,declined_cash_withdrawal,"Would you please check my Card. As Withdrawal was working fine so far, but this morning suddenly got declined. Can you please check the problem?",validation,1199,declined_cash_withdrawal,"Please check my Card. As Withdrawal was working fine so far, but this morning suddenly got declined. Can you please check the problem?",0.977974
train,2349,wrong_exchange_rate_for_cash_withdrawal,Can i get money in my home currency at some ATM ? As I am on holiday and bit concerned because i do not have any cash with me . Is it possible to withdraw without any additional cost.,validation,622,wrong_exchange_rate_for_cash_withdrawal,Can i get money in my home currency at my ATM ?I am on holiday and bit concerned because i do not have any cash with me .Is it possible to withdraw without any additional cost.,0.976589
